epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1573.93,1.56004,1.02624,0.91563,0.86426,0.78947,0.83838,0.40751,1.80527,1.14418,0.91884,0.0007526,0.0007526,0.0007526
65,1597.99,1.6026,1.09381,0.8932,0.88731,0.84211,0.84146,0.37583,1.89005,1.17864,0.92214,0.0007328,0.0007328,0.0007328
66,1621.79,1.54473,1.05913,0.8951,0.93033,0.89474,0.91968,0.42627,1.7107,1.1037,0.89672,0.000713,0.000713,0.000713
67,1645.31,1.53846,1.04102,0.92863,0.92783,0.89474,0.9224,0.41299,1.60526,1.06725,0.8886,0.0006932,0.0006932,0.0006932
68,1669.46,1.37655,0.92265,0.89528,0.87647,0.84211,0.84508,0.38802,1.62593,1.05375,0.88818,0.0006734,0.0006734,0.0006734
69,1693.53,1.57982,0.97437,0.94835,0.87712,0.84211,0.8476,0.38102,1.67257,1.08993,0.89187,0.0006536,0.0006536,0.0006536
70,1721.88,1.52248,0.94772,0.99394,0.88123,0.78143,0.75673,0.34297,1.7863,1.09542,0.90669,0.0006338,0.0006338,0.0006338
71,1745.92,1.58218,1.14448,0.86731,0.94064,0.83445,0.84501,0.3608,1.76245,1.08688,0.9087,0.000614,0.000614,0.000614
72,1770.82,1.51009,1.01647,0.90805,0.9467,0.93538,0.96396,0.46605,1.59746,1.0171,0.89623,0.0005942,0.0005942,0.0005942
73,1794.67,1.47853,0.9614,0.91748,1,0.88492,0.96258,0.50179,1.59352,1.03086,0.89059,0.0005744,0.0005744,0.0005744
74,1818.3,1.40781,0.94977,0.94285,0.97155,0.94737,0.96521,0.45093,1.59686,1.01288,0.8861,0.0005546,0.0005546,0.0005546
75,1842.26,1.39864,0.97351,0.90562,0.921,0.78947,0.83389,0.38398,1.59275,0.99678,0.88641,0.0005348,0.0005348,0.0005348
76,1865.9,1.54404,0.96601,0.87917,0.8311,0.77751,0.77929,0.31743,1.69097,1.02428,0.89636,0.000515,0.000515,0.000515
77,1890.11,1.41467,0.89196,0.90898,0.79742,0.68421,0.66488,0.29538,1.75911,1.01863,0.90662,0.0004952,0.0004952,0.0004952
78,1913.98,1.37943,0.83553,0.90125,0.88007,0.78947,0.78293,0.32999,1.7783,1.00167,0.91332,0.0004754,0.0004754,0.0004754
79,1937.65,1.49247,0.84783,0.90805,0.87581,0.78947,0.78225,0.34247,1.7641,1.02952,0.90779,0.0004556,0.0004556,0.0004556
80,1961.79,1.48832,0.88733,0.87995,0.94115,0.84177,0.88812,0.37724,1.69884,1.02991,0.89438,0.0004358,0.0004358,0.0004358
81,1986.8,1.36647,0.88214,0.93061,0.94079,0.83659,0.89781,0.37413,1.68676,1.01043,0.89162,0.000416,0.000416,0.000416
82,2011.91,1.36517,0.85215,0.94434,0.88744,0.89474,0.90885,0.35947,1.70103,0.9949,0.89566,0.0003962,0.0003962,0.0003962
83,2036.17,1.38912,0.82431,0.92395,0.88728,0.89474,0.90367,0.3242,1.71484,1.01197,0.89629,0.0003764,0.0003764,0.0003764
84,2060.52,1.49454,0.89754,0.89973,0.88783,0.89474,0.89393,0.35262,1.67729,1.03699,0.88735,0.0003566,0.0003566,0.0003566
85,2086.37,1.70435,1.07473,0.9066,0.94447,0.94737,0.97492,0.37954,1.61278,0.98875,0.88024,0.0003368,0.0003368,0.0003368
86,2111,1.3658,0.92566,0.88313,0.89654,0.91275,0.97115,0.42024,1.56381,0.92516,0.87591,0.000317,0.000317,0.000317
87,2145,1.55097,0.94005,0.87761,1,0.83322,0.96893,0.41821,1.54929,0.91867,0.87418,0.0002972,0.0002972,0.0002972
88,2172.09,1.52327,0.93808,0.91094,0.89955,0.94737,0.96469,0.43586,1.55185,0.93721,0.87332,0.0002774,0.0002774,0.0002774
89,2201.23,1.48428,0.87883,0.85085,0.89914,0.9388,0.96667,0.4255,1.57274,0.93575,0.87398,0.0002576,0.0002576,0.0002576
90,2227.42,1.39505,1.01103,0.87224,0.94672,0.93573,0.96825,0.41892,1.59763,0.9495,0.87479,0.0002378,0.0002378,0.0002378
91,2252.63,1.40589,0.93075,0.89034,0.94671,0.93554,0.96934,0.4152,1.5979,0.95104,0.87494,0.000218,0.000218,0.000218
92,2277.91,1.61369,0.93058,0.96236,0.94675,0.93626,0.96934,0.42215,1.58781,0.94456,0.87511,0.0001982,0.0001982,0.0001982
93,2303.33,1.40431,0.95161,0.91424,0.89934,0.94075,0.96782,0.42178,1.58689,0.93565,0.87533,0.0001784,0.0001784,0.0001784
